plots_cells,plots_size,plots_size_L0,plots_size_L1,plots_size_L2,caseID,caseDir
3670016,1.093435479e9,9.9901064e8,2.4207223e7,7.0057384e7,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00130
3932160,1.1850119e9,1.070368545e9,2.869117e7,8.5779724e7,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00140
4194304,1.279946184e9,1.14172645e9,3.4374312e7,1.03660636e8,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00150
4456448,1.377201817e9,1.213084355e9,4.0057451e7,1.23861856e8,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00160
4718592,1.478217291e9,1.28444226e9,4.7063598e7,1.46500192e8,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00170
4980736,1.581793417e9,1.355800165e9,5.4069745e7,1.71699393e8,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00180
5242880,1.685369522e9,1.42715807e9,6.1075884e7,1.96898581e8,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00190
5505024,1.793167235e9,1.498515975e9,6.9563235e7,2.24837519e8,case4_cfl5_maxl2,sedov_2d_cyl_in_cart_plt00200
262144,7.564582e7,7.1357875e7,633563.0,1.121009e6,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00000
524288,1.51291875e8,1.4271578e8,1.267151e6,2.242044e6,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00010
786432,2.2693793e8,2.14073685e8,1.900739e6,3.363079e6,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00020
1048576,3.03501667e8,2.8543159e8,2.534328e6,4.484114e6,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00030
1310720,3.81745236e8,3.56789495e8,3.167916e6,6.240464e6,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00040
1572864,4.61188738e8,4.281474e8,3.801505e6,7.996807e6,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00050
